group	variants	groupName	groupMembers
2	AY.125	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.126	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.127	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.129	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.23	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.33	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.34	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.34.1	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.36	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.4	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.4.13	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.4.2	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.4.2.3	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.4.4	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.4.5	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
2	AY.4.7	B.1.617.2	AY.100:AY.103:AY.106:AY.112:AY.116:AY.120:AY.121:AY.122:AY.124:AY.125:AY.126:AY.127:AY.129:AY.23:AY.33:AY.34:AY.34.1:AY.36:AY.4:AY.4.13:AY.4.2:AY.4.2.3:AY.4.4:AY.4.5:AY.4.7:AY.4.9:AY.41:AY.42:AY.43:AY.43.4:AY.43.8:AY.43.9:AY.46:AY.46.6:AY.5:AY.57:AY.6:AY.7.1:AY.84:AY.92:AY.98:AY.98.1:AY.99:B.1.617.2
